  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Time                              │Destination │NumberOfCompleteVehicles │FoamBox │PlasticFrame │Mark1 │Mark1Bar │Mark2 │Mark3 │Level3 │Supermarket3Labels │SmallFruit │BigFruit │FlowersFruits │Mark1_J │Mark2_J │Mark3_J │SmallFruitMark1 │SmallBunchFruits │BunchFruits │FineBunchFruits │SweetBunchFruits │BunchFruitsAA │AAA │TurnoverBasket │ElectronicCommerce │Carpooling 
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │root (1)                          │            │13638                    │11862   │1776         │13    │0        │52    │7677  │1028   │2604               │154        │0        │334           │335     │1213    │20      │6               │92               │67          │43              │0                │0             │0   │0              │0                  │0          
  └───2022-02-05 (60)                │            │13638                    │11862   │1776         │13    │0        │52    │7677  │1028   │2604               │154        │0        │334           │335     │1213    │20      │6               │92               │67          │43              │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-05 (3)             │            │497                      │497     │0            │0     │0        │0     │0     │0      │497                │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-05             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-05             │成都          │497                      │497     │0            │0     │0        │0     │0     │0      │497                │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-05             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-06 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-06             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-06             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-06             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-07 (3)             │            │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-07             │武汉          │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-07             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-07             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-08 (3)             │            │872                      │792     │80           │0     │0        │0     │0     │503    │289                │0          │0        │0             │0       │80      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-08             │武汉          │503                      │503     │0            │0     │0        │0     │0     │503    │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-08             │成都          │369                      │289     │80           │0     │0        │0     │0     │0      │289                │0          │0        │0             │0       │80      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-08             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-09 (3)             │            │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-09             │武汉          │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-09             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-02-09             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-02-10 (3)             │            │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-02-10             │武汉          │503                      │503     │0            │0     │0        │0     │503   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
